stage,channel_index_0based,wavelength_nm_approx,mean_pseudo_absorbance,sd_pseudo_absorbance,n
0,119,1360.344827586207,0.2336844950914383,0.03885386884212494,2242
0,120,1363.7931034482758,0.239082470536232,0.03927703574299812,2242
0,121,1367.2413793103449,0.24529914557933807,0.03982831537723541,2242
0,122,1370.6896551724137,0.2525598108768463,0.04047321528196335,2242
0,123,1374.1379310344828,0.2605670988559723,0.041225895285606384,2242
0,124,1377.5862068965516,0.26941946148872375,0.04212634265422821,2242
0,125,1381.0344827586207,0.27862805128097534,0.04309399053454399,2242
0,126,1384.4827586206898,0.2880144715309143,0.04412255808711052,2242
0,127,1387.9310344827586,0.2971462905406952,0.045100562274456024,2242
0,128,1391.3793103448274,0.30585813522338867,0.04604792967438698,2242
0,129,1394.8275862068965,0.31368589401245117,0.046879298985004425,2242
0,130,1398.2758620689656,0.32085222005844116,0.04764046519994736,2242
0,131,1401.7241379310344,0.3268905282020569,0.04828021302819252,2242
0,132,1405.1724137931035,0.33169180154800415,0.04878702014684677,2242
0,133,1408.6206896551723,0.33546096086502075,0.04930047318339348,2242
0,134,1412.0689655172414,0.33829379081726074,0.04971405491232872,2242
0,135,1415.5172413793102,0.34013456106185913,0.050021931529045105,2242
0,136,1418.9655172413793,0.34155070781707764,0.050279781222343445,2242
0,137,1422.4137931034484,0.3422887325286865,0.05047483742237091,2242
0,138,1425.8620689655172,0.34297022223472595,0.05064002797007561,2242
0,139,1429.310344827586,0.34319213032722473,0.05071747303009033,2242
0,140,1432.7586206896551,0.34330472350120544,0.050790973007678986,2242
0,141,1436.2068965517242,0.34323155879974365,0.05081094428896904,2242
0,142,1439.655172413793,0.34298670291900635,0.05086560919880867,2242
0,143,1443.103448275862,0.3421860933303833,0.0508478544652462,2242
0,144,1446.551724137931,0.34125882387161255,0.05086429417133331,2242
0,145,1450.0,0.33989161252975464,0.05085262283682823,2242
0,146,1453.4482758620688,0.33848705887794495,0.05081930756568909,2242
0,147,1456.896551724138,0.336868017911911,0.05081748589873314,2242
0,148,1460.344827586207,0.33512210845947266,0.05073552578687668,2242
0,149,1463.7931034482758,0.33335602283477783,0.050701577216386795,2242
0,150,1467.2413793103447,0.3314671516418457,0.05061325058341026,2242
0,151,1470.6896551724137,0.3294506371021271,0.05048734322190285,2242
0,152,1474.1379310344828,0.3275504410266876,0.05041192099452019,2242
0,153,1477.5862068965516,0.3255666494369507,0.050311438739299774,2242
0,154,1481.0344827586207,0.3235718607902527,0.050232745707035065,2242
